[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-17T09:39:28.597Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:39:31.754Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:39:31.760Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:40:21.546Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T09:40:21.553Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T09:40:25.461Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:25.469Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:25.489Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:40:25.574Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:40:33.571Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:40:33.577Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:40:35.263Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:40:35.269Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T09:40:44.042Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:44.045Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:40:44.049Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:44.058Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:40:47.067Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:47.086Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:40:47.087Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:40:47.088Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T09:40:47.094Z] AUTH SUCCESS: Role: admin | Path: /api/plans
